type,title,director,cast,date_added,release_year,rating
TV Show,3%,,"João Miguel, Bianca Comparato, Michel Gomes, Rodolfo Valente, Vaneza Oliveira, Rafael Lozano, Viviane Porto, Mel Fronckowiak, Sergio Mamberti, Zezé Motta, Celso Frateschi",2020-08-14,2020,TV-MA
Movie,1920,Vikram Bhatt,"Rajneesh Duggal, Adah Sharma, Indraneil Sengupta, Anjori Alagh, Rajendranath Zutshi, Vipin Sharma, Amin Hajee, Shri Vallabh Vyas",2017-12-15,2008,TV-MA
Movie,3 Heroines,Iman Brotoseno,"Reza Rahadian, Bunga Citra Lestari, Tara Basro, Chelsea Islan",2019-01-05,2016,TV-PG
Movie,Blue Mountain State: The Rise of Thadland,Lev L. Spiro,"Alan Ritchson, Darin Brooks, James Cade, Rob Ramsay, Chris Romano, Frankie Shaw, Omari Newton, Ed Marinaro, Dhani Jones, Ed Amatrudo, Jimmy Tatro",2016-03-01,2016,R
TV Show,Blue Planet II,,David Attenborough,2018-12-03,2017,TV-G
Movie,Blue Ruin,Jeremy Saulnier,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack, Eve Plumb, David W. Thompson, Brent Werzner, Stacy Rock, Sidné Anderson, Sandy Barnett, Bonnie Johnson",2019-02-25,2013,R
Movie,Blue Streak,Les Mayfield,"Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle, Nicole Ari Parker, Graham Beckel, Robert Miranda, Olek Krupa, Saverio Guerra, Richard C. Sarafian, William Forsythe",2021-01-01,1999,PG-13
Movie,Blue Valentine,Derek Cianfrance,"Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel, Ben Shenkman, Jen Jones, Maryann Plunkett, Marshall Johnson, James Benatti, Barbara Troy, Carey Westbrook, Enid Graham",2018-07-05,2010,R
Movie,BluffMaster!,Rohan Sippy,"Abhishek Bachchan, Priyanka Chopra, Riteish Deshmukh, Boman Irani, Nana Patekar, Sanjay Mishra, Tinnu Anand, Hussain Shaikh",2021-01-08,2005,TV-14
Movie,Blurred Lines: Inside the Art World,Barry Avrich,,2017-12-31,2017,TV-MA
TV Show,BNA,,"Sumire Morohoshi, Yoshimasa Hosoya, Maria Naganawa, Kaito Ishikawa, Gara Takashima, Michiyo Murase",2020-06-30,2020,TV-14
Movie,BNK48: Girls Don't Cry,Nawapol Thamrongrattanarit,,2019-03-01,2018,TV-14
Movie,Bo Burnham: Make Happy,Bo Burnham Christopher Storer,Bo Burnham,2016-06-03,2016,TV-MA
Movie,3 Idiots,Rajkumar Hirani,"Aamir Khan, Kareena Kapoor, Madhavan, Sharman Joshi, Omi Vaidya, Boman Irani, Mona Singh, Javed Jaffrey",2019-08-01,2009,PG-13
Movie,Bo Burnham: what.,Bo Burnham Christopher Storer,Bo Burnham,2018-07-01,2013,TV-MA
TV Show,Bo on the Go!,,"Catherine O'Connor, Andrew Sabiston, Jim Fowler",2019-03-21,2007,TV-Y
Movie,Bob Lazar: Area 51 & Flying Saucers,Jeremy Kenyon Lockyer Corbell,Robert Lazar,2019-06-18,2018,TV-MA
TV Show,Bob Ross: Beauty Is Everywhere,,Bob Ross,2016-06-01,1991,TV-G
Movie,Bob's Broken Sleigh,Jay Surridge,"Cole Howard, Bruce Greenwood, Victor Garber, Michael Adamthwaite, Raini Rodriguez, Colin Murdock, Maryke Hendrikse, Sam Vincent, Gabe Khouth",2015-12-17,2015,TV-G
Movie,Bobbi Jene,Elvira Lind,Bobbi Jene Smith,2018-06-01,2017,TV-MA
Movie,Bobbleheads The Movie,Kirk Wise,"Jennifer Coolidge, Karen Fukuhara, Khary Payton, Julian Sands, Brenda Song, Luke Wilson, Cher",2020-12-08,2020,PG
Movie,Bobby,Raj Kapoor,"Rishi Kapoor, Dimple Kapadia, Pran, Prem Nath, Sonia Sahni, Durga Khote, Aruna Irani, Prem Chopra, Farida Jalal",2019-12-31,1973,TV-14
Movie,Bobby Jasoos,Samar Shaikh,"Vidya Balan, Ali Fazal, Supriya Pathak, Tanvi Azmi, Zarina Wahab, Kiran Kumar, Rajendra Gupta, Arjan Bajwa, Prasad Barve, Aakash Dahiya",2020-12-31,2014,TV-14
TV Show,Bobby Kennedy for President,Dawn Porter,Robert F. Kennedy,2018-04-27,2018,TV-MA
Movie,3 Seconds Divorce,Shazia Javed,,2019-06-15,2018,TV-PG
Movie,Bobby Robson: More Than a Manager,Gabriel Clarke Torquil Jones,Bobby Robson,2018-12-01,2018,TV-14
Movie,Bobby Sands: 66 Days,Brendan Byrne,,2017-09-28,2016,TV-14
TV Show,Boca Juniors Confidential,,,2018-09-14,2018,TV-PG
Movie,Bodyguard,Siddique,"Salman Khan, Kareena Kapoor, Raj Babbar, Asrani, Vidya Sinha, Hazel Keech, Chetan Hansraj, Salim Baig",2020-11-19,2011,TV-14
Movie,Bogda,Nisheeta Keni,"Suhas Joshi, Mrunmayee Deshpande, Rohit Kokate, Ajinkya Bhosale, Jayant Gadekar, Vivekanand Walake, Pallavi Malvade, Nirmala Tikam",2019-07-16,2018,TV-PG
Movie,Boi,Jorge M. Fontana,"Bernat Quintana, Adrian Pang, Andrew Lua, Rachel Lascar, Fina Rius, Miranda Gas",2019-07-26,2018,TV-MA
TV Show,BoJack Horseman,,"Will Arnett, Aaron Paul, Amy Sedaris, Alison Brie, Paul F. Tompkins",2019-10-25,2020,TV-MA
Movie,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,,"Will Arnett, Aaron Paul, Alison Brie, Adam Conover, Kristen Schaal, Fred Savage",2014-12-19,2014,TV-MA
Movie,Bokeh,Geoffrey Orthwein Andrew Sullivan,"Maika Monroe, Matt O'Leary, Arnar Jónsson, Gunnar Helgason, Berglind Rós Sigurðardóttir",2017-06-22,2017,TV-14
TV Show,Bolívar,Luis Alberto Restrepo Andrés Beltrán Jaime Rayo,"Luis Gerónimo Abreu, José Ramón Barreto, Ernesto Benjumea, Félix Antequera, Jefferson Quiñones, Shany Nadan, María José Vargas, Hans Martínez, Mauro Mauad, Álvaro Bayona, Rosmeri Marval, Irene Esser, Nohely Arteaga",2019-06-21,2019,TV-MA
Movie,3 Türken & ein Baby,Sinan Akkuş,"Kostja Ullmann, Eko Fresh, Kida Khodr Ramadan, Sabrina Klüber, Sami Nasser, Kayla Rybicka, Jytte-Merle Böhrnsen, Emrah Erdogru, Tim Grothe, Hülya Duyar",2016-12-15,2015,TV-MA
Movie,Bollywood Calling,Nagesh Kukunoor,"Om Puri, Pat Cusick, Navin Nischol, Perizaad Zorabian",2019-04-15,2001,TV-MA
Movie,Bolt,Byron Howard Chris Williams,"John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton, Greg Germann, Diedrich Bader, Nick Swardson, J.P. Manoux, Dan Fogelman, Kari Wahlgren, Chloë Grace Moretz, Randy Savage, Ronn Moss, John DiMaggio, Daran Norris, Jeff Bennett, Brian Stepanek, Todd Cummings",2018-07-22,2008,PG
Movie,Bomb Scared,Borja Cobeaga,"Javier Cámara, Julián López, Miren Ibarguren, Gorka Otxoa, Tina Sáinz, Ramón Barea",2017-10-12,2017,TV-MA
